target, sum, time
100000000, 5000000050000000, 0.161909\n
100000000, 5000000050000000, 0.160418\n
100000000, 5000000050000000, 0.160670\n
100000000, 5000000050000000, 0.160970\n
100000000, 5000000050000000, 0.160652\n
100000000, 5000000050000000, 0.160873\n
100000000, 5000000050000000, 0.160932\n
100000000, 5000000050000000, 0.160292\n
100000000, 5000000050000000, 0.160428\n
100000000, 5000000050000000, 0.161365\n
100000000, 5000000050000000, 0.160353\n
100000000, 5000000050000000, 0.160419\n
100000000, 5000000050000000, 0.160407\n
100000000, 5000000050000000, 0.160548\n
100000000, 5000000050000000, 0.161359\n
100000000, 5000000050000000, 0.160471\n
100000000, 5000000050000000, 0.160690\n
100000000, 5000000050000000, 0.160510\n
100000000, 5000000050000000, 0.160371\n
100000000, 5000000050000000, 0.160352\n
100000000, 5000000050000000, 0.160453\n
100000000, 5000000050000000, 0.160455\n
100000000, 5000000050000000, 0.161283\n
100000000, 5000000050000000, 0.160561\n
100000000, 5000000050000000, 0.160407\n
100000000, 5000000050000000, 0.160654\n
100000000, 5000000050000000, 0.161966\n
100000000, 5000000050000000, 0.160404\n
100000000, 5000000050000000, 0.161235\n
100000000, 5000000050000000, 0.160719\n
100000000, 5000000050000000, 0.161559\n
100000000, 5000000050000000, 0.160462\n
100000000, 5000000050000000, 0.161192\n
100000000, 5000000050000000, 0.160476\n
100000000, 5000000050000000, 0.160968\n
100000000, 5000000050000000, 0.161494\n
100000000, 5000000050000000, 0.161259\n
100000000, 5000000050000000, 0.160920\n
100000000, 5000000050000000, 0.161475\n
100000000, 5000000050000000, 0.163100\n
100000000, 5000000050000000, 0.161733\n
100000000, 5000000050000000, 0.160359\n
100000000, 5000000050000000, 0.163037\n
100000000, 5000000050000000, 0.164013\n
100000000, 5000000050000000, 0.162672\n
100000000, 5000000050000000, 0.171213\n
100000000, 5000000050000000, 0.163130\n
100000000, 5000000050000000, 0.162012\n
100000000, 5000000050000000, 0.161510\n
100000000, 5000000050000000, 0.160650\n
100000000, 5000000050000000, 0.160869\n
100000000, 5000000050000000, 0.163454\n
100000000, 5000000050000000, 0.160835\n
100000000, 5000000050000000, 0.161724\n
100000000, 5000000050000000, 0.160970\n
100000000, 5000000050000000, 0.160998\n
100000000, 5000000050000000, 0.161661\n
100000000, 5000000050000000, 0.160877\n
100000000, 5000000050000000, 0.159541\n
100000000, 5000000050000000, 0.147939\n
100000000, 5000000050000000, 0.138552\n
100000000, 5000000050000000, 0.130038\n
100000000, 5000000050000000, 0.121582\n
100000000, 5000000050000000, 0.117136\n
100000000, 5000000050000000, 0.113550\n
100000000, 5000000050000000, 0.103299\n
100000000, 5000000050000000, 0.099486\n
100000000, 5000000050000000, 0.094985\n
100000000, 5000000050000000, 0.091044\n
100000000, 5000000050000000, 0.087576\n
100000000, 5000000050000000, 0.085171\n
100000000, 5000000050000000, 0.081501\n
100000000, 5000000050000000, 0.079577\n
100000000, 5000000050000000, 0.080706\n
100000000, 5000000050000000, 0.080164\n
100000000, 5000000050000000, 0.079357\n
100000000, 5000000050000000, 0.079412\n
100000000, 5000000050000000, 0.080023\n
100000000, 5000000050000000, 0.079835\n
100000000, 5000000050000000, 0.079162\n
100000000, 5000000050000000, 0.079576\n
100000000, 5000000050000000, 0.081185\n
100000000, 5000000050000000, 0.079536\n
100000000, 5000000050000000, 0.080288\n
100000000, 5000000050000000, 0.080155\n
100000000, 5000000050000000, 0.079871\n
100000000, 5000000050000000, 0.079998\n
100000000, 5000000050000000, 0.080782\n
100000000, 5000000050000000, 0.079514\n
100000000, 5000000050000000, 0.079614\n
100000000, 5000000050000000, 0.079100\n
100000000, 5000000050000000, 0.080261\n
100000000, 5000000050000000, 0.080165\n
100000000, 5000000050000000, 0.081661\n
100000000, 5000000050000000, 0.079541\n
100000000, 5000000050000000, 0.080311\n
100000000, 5000000050000000, 0.079577\n
100000000, 5000000050000000, 0.079595\n
100000000, 5000000050000000, 0.080540\n
100000000, 5000000050000000, 0.080019\n
1000000000, 500000000500000000, 0.795411\n
1000000000, 500000000500000000, 0.790918\n
1000000000, 500000000500000000, 0.792099\n
1000000000, 500000000500000000, 0.790366\n
1000000000, 500000000500000000, 0.790334\n
1000000000, 500000000500000000, 0.789599\n
1000000000, 500000000500000000, 0.789557\n
1000000000, 500000000500000000, 0.790955\n
1000000000, 500000000500000000, 0.791485\n
1000000000, 500000000500000000, 0.790771\n
1000000000, 500000000500000000, 0.790614\n
1000000000, 500000000500000000, 0.789904\n
1000000000, 500000000500000000, 0.792050\n
1000000000, 500000000500000000, 0.791837\n
1000000000, 500000000500000000, 0.798136\n
1000000000, 500000000500000000, 0.790702\n
1000000000, 500000000500000000, 0.790818\n
1000000000, 500000000500000000, 0.791605\n
1000000000, 500000000500000000, 0.789904\n
1000000000, 500000000500000000, 0.792046\n
1000000000, 500000000500000000, 0.790865\n
1000000000, 500000000500000000, 0.790417\n
1000000000, 500000000500000000, 0.790408\n
1000000000, 500000000500000000, 0.790503\n
1000000000, 500000000500000000, 0.790382\n
1000000000, 500000000500000000, 0.792174\n
1000000000, 500000000500000000, 0.792655\n
1000000000, 500000000500000000, 0.789591\n
1000000000, 500000000500000000, 0.791306\n
1000000000, 500000000500000000, 0.798241\n
1000000000, 500000000500000000, 0.790799\n
1000000000, 500000000500000000, 0.791665\n
1000000000, 500000000500000000, 0.789996\n
1000000000, 500000000500000000, 0.790464\n
1000000000, 500000000500000000, 0.790956\n
1000000000, 500000000500000000, 0.792176\n
1000000000, 500000000500000000, 0.790388\n
1000000000, 500000000500000000, 0.795991\n
1000000000, 500000000500000000, 0.791362\n
1000000000, 500000000500000000, 0.790127\n
1000000000, 500000000500000000, 0.793749\n
1000000000, 500000000500000000, 0.792492\n
1000000000, 500000000500000000, 0.790051\n
1000000000, 500000000500000000, 0.791070\n
1000000000, 500000000500000000, 0.793041\n
1000000000, 500000000500000000, 0.790977\n
1000000000, 500000000500000000, 0.791712\n
1000000000, 500000000500000000, 0.791820\n
1000000000, 500000000500000000, 0.791658\n
1000000000, 500000000500000000, 0.790018\n
1000000000, 500000000500000000, 0.793421\n
1000000000, 500000000500000000, 0.792804\n
1000000000, 500000000500000000, 0.791158\n
1000000000, 500000000500000000, 0.791673\n
1000000000, 500000000500000000, 0.791779\n
1000000000, 500000000500000000, 0.789673\n
1000000000, 500000000500000000, 0.789909\n
1000000000, 500000000500000000, 0.789857\n
1000000000, 500000000500000000, 0.789909\n
1000000000, 500000000500000000, 0.789739\n
1000000000, 500000000500000000, 0.790652\n
1000000000, 500000000500000000, 0.790992\n
1000000000, 500000000500000000, 0.791962\n
1000000000, 500000000500000000, 0.795193\n
1000000000, 500000000500000000, 0.794414\n
1000000000, 500000000500000000, 0.791475\n
1000000000, 500000000500000000, 0.790031\n
1000000000, 500000000500000000, 0.792206\n
1000000000, 500000000500000000, 0.789919\n
1000000000, 500000000500000000, 0.792577\n
1000000000, 500000000500000000, 0.790029\n
1000000000, 500000000500000000, 0.791118\n
1000000000, 500000000500000000, 0.795123\n
1000000000, 500000000500000000, 0.789564\n
1000000000, 500000000500000000, 0.792456\n
1000000000, 500000000500000000, 0.790877\n
1000000000, 500000000500000000, 0.790823\n
1000000000, 500000000500000000, 0.789703\n
1000000000, 500000000500000000, 0.789133\n
1000000000, 500000000500000000, 0.789215\n
1000000000, 500000000500000000, 0.789827\n
1000000000, 500000000500000000, 0.789322\n
1000000000, 500000000500000000, 0.788902\n
1000000000, 500000000500000000, 0.791911\n
1000000000, 500000000500000000, 0.788513\n
1000000000, 500000000500000000, 0.788536\n
1000000000, 500000000500000000, 0.789723\n
1000000000, 500000000500000000, 0.790926\n
1000000000, 500000000500000000, 0.792157\n
1000000000, 500000000500000000, 0.789053\n
1000000000, 500000000500000000, 0.791611\n
1000000000, 500000000500000000, 0.788494\n
1000000000, 500000000500000000, 0.787875\n
1000000000, 500000000500000000, 0.791927\n
1000000000, 500000000500000000, 0.793963\n
1000000000, 500000000500000000, 0.790508\n
1000000000, 500000000500000000, 0.789806\n
1000000000, 500000000500000000, 0.789471\n
1000000000, 500000000500000000, 0.790141\n
1000000000, 500000000500000000, 0.789544\n
10000000000, 994142228124135936, 1.128905\n
10000000000, 994142228124135936, 1.117639\n
10000000000, 994142228124135936, 1.119395\n
10000000000, 994142228124135936, 1.116834\n
10000000000, 994142228124135936, 1.117208\n
10000000000, 994142228124135936, 1.122667\n
10000000000, 994142228124135936, 1.115524\n
10000000000, 994142228124135936, 1.114654\n
10000000000, 994142228124135936, 1.114699\n
10000000000, 994142228124135936, 1.115357\n
10000000000, 994142228124135936, 1.117983\n
10000000000, 994142228124135936, 1.113964\n
10000000000, 994142228124135936, 1.114437\n
10000000000, 994142228124135936, 1.119657\n
10000000000, 994142228124135936, 1.113892\n
10000000000, 994142228124135936, 1.113441\n
10000000000, 994142228124135936, 1.118863\n
10000000000, 994142228124135936, 1.113878\n
10000000000, 994142228124135936, 1.115442\n
10000000000, 994142228124135936, 1.115304\n
10000000000, 994142228124135936, 1.125030\n
10000000000, 994142228124135936, 1.113953\n
10000000000, 994142228124135936, 1.113089\n
10000000000, 994142228124135936, 1.114033\n
10000000000, 994142228124135936, 1.112877\n
10000000000, 994142228124135936, 1.114756\n
10000000000, 994142228124135936, 1.114481\n
10000000000, 994142228124135936, 1.113910\n
10000000000, 994142228124135936, 1.113378\n
10000000000, 994142228124135936, 1.114673\n
10000000000, 994142228124135936, 1.114155\n
10000000000, 994142228124135936, 1.115668\n
10000000000, 994142228124135936, 1.117839\n
10000000000, 994142228124135936, 1.114830\n
10000000000, 994142228124135936, 1.115862\n
10000000000, 994142228124135936, 1.113242\n
10000000000, 994142228124135936, 1.112446\n
10000000000, 994142228124135936, 1.113384\n
10000000000, 994142228124135936, 1.115790\n
10000000000, 994142228124135936, 1.114067\n
10000000000, 994142228124135936, 1.113714\n
10000000000, 994142228124135936, 1.117173\n
10000000000, 994142228124135936, 1.123211\n
10000000000, 994142228124135936, 1.115136\n
10000000000, 994142228124135936, 1.112191\n
10000000000, 994142228124135936, 1.115662\n
10000000000, 994142228124135936, 1.113201\n
10000000000, 994142228124135936, 1.113607\n
10000000000, 994142228124135936, 1.112750\n
10000000000, 994142228124135936, 1.115615\n
10000000000, 994142228124135936, 1.113816\n
10000000000, 994142228124135936, 1.114034\n
10000000000, 994142228124135936, 1.115364\n
10000000000, 994142228124135936, 1.113675\n
10000000000, 994142228124135936, 1.114342\n
10000000000, 994142228124135936, 1.113731\n
