type, target, sum, time, threads
baseline, 100000000, 4999999950000000, 0.082092, 1
multithread, 100000000, 4999999950000000, 0.076589, 1
multitask_fork, 100000000, 4999999950000000, 0.077784, 1
multitask_popen, 100000000, 4999999950000000, 0.079408, 1
multithread, 100000000, 4999999950000000, 0.039091, 2
multitask_fork, 100000000, 4999999950000000, 0.039745, 2
multitask_popen, 100000000, 4999999950000000, 0.040544, 2
multithread, 100000000, 4999999950000000, 0.019566, 4
multitask_fork, 100000000, 4999999950000000, 0.020063, 4
multitask_popen, 100000000, 4999999950000000, 0.021130, 4
multithread, 100000000, 4999999950000000, 0.015340, 8
multitask_fork, 100000000, 4999999950000000, 0.014943, 8
multitask_popen, 100000000, 4999999950000000, 0.016336, 8
baseline, 1000000000, 499999999500000000, 0.790654, 1
multithread, 1000000000, 499999999500000000, 0.763364, 1
multitask_fork, 1000000000, 499999999500000000, 0.774245, 1
multitask_popen, 1000000000, 499999999500000000, 0.774688, 1
multithread, 1000000000, 499999999500000000, 0.382059, 2
multitask_fork, 1000000000, 499999999500000000, 0.386946, 2
multitask_popen, 1000000000, 499999999500000000, 0.388577, 2
multithread, 1000000000, 499999999500000000, 0.192901, 4
multitask_fork, 1000000000, 499999999500000000, 0.194016, 4
multitask_popen, 1000000000, 499999999500000000, 0.194819, 4
multithread, 1000000000, 499999999500000000, 0.142473, 8
multitask_fork, 1000000000, 499999999500000000, 0.143662, 8
multitask_popen, 1000000000, 499999999500000000, 0.145187, 8
baseline, 10000000000, -5340232226128654848, 7.895613, 1
multithread, 10000000000, -5340232226128654848, 7.622327, 1
multitask_fork, 10000000000, -5340232226128654848, 7.726817, 1
multitask_popen, 10000000000, -5340232226128654848, 7.727734, 1
multithread, 10000000000, -5340232226128654848, 3.812044, 2
multitask_fork, 10000000000, -5340232226128654848, 3.861050, 2
multitask_popen, 10000000000, -5340232226128654848, 3.862770, 2
multithread, 10000000000, -5340232226128654848, 1.930670, 4
multitask_fork, 10000000000, -5340232226128654848, 1.931385, 4
multitask_popen, 10000000000, -5340232226128654848, 1.936597, 4
multithread, 10000000000, -5340232226128654848, 1.441049, 8
multitask_fork, 10000000000, -5340232226128654848, 1.436097, 8
multitask_popen, 10000000000, -5340232226128654848, 1.458718, 8
baseline, 100000000, 4999999950000000, 0.079051, 1
multithread, 100000000, 4999999950000000, 0.076382, 1
multitask_fork, 100000000, 4999999950000000, 0.077682, 1
multitask_popen, 100000000, 4999999950000000, 0.078749, 1
multithread, 100000000, 4999999950000000, 0.039734, 2
multitask_fork, 100000000, 4999999950000000, 0.039648, 2
multitask_popen, 100000000, 4999999950000000, 0.040409, 2
multithread, 100000000, 4999999950000000, 0.020574, 4
multitask_fork, 100000000, 4999999950000000, 0.019956, 4
multitask_popen, 100000000, 4999999950000000, 0.021473, 4
multithread, 100000000, 4999999950000000, 0.016538, 8
multitask_fork, 100000000, 4999999950000000, 0.015507, 8
multitask_popen, 100000000, 4999999950000000, 0.019160, 8
