type, target, sum, time, threads
baseline, 1000000000, 499999999500000000, 0.789642, 1
multithread, 1000000000, 499999999500000000, 0.762080, 1
multitask_fork, 1000000000, 499999999500000000, 0.774364, 1
multitask_popen, 1000000000, 499999999500000000, 0.775293, 1
multithread, 1000000000, 499999999500000000, 0.381363, 2
multitask_fork, 1000000000, 499999999500000000, 0.386802, 2
multitask_popen, 1000000000, 499999999500000000, 0.388686, 2
multithread, 1000000000, 499999999500000000, 0.193957, 4
multitask_fork, 1000000000, 499999999500000000, 0.194495, 4
multitask_popen, 1000000000, 499999999500000000, 0.196138, 4
multithread, 1000000000, 499999999500000000, 0.144580, 8
multitask_fork, 1000000000, 499999999500000000, 0.151494, 8
multitask_popen, 1000000000, 499999999500000000, 0.147842, 8
baseline, 10000000000, -5340232226128654848, 7.896088, 1
multithread, 10000000000, -5340232226128654848, 7.624739, 1
multitask_fork, 10000000000, -5340232226128654848, 7.730059, 1
multitask_popen, 10000000000, -5340232226128654848, 7.730097, 1
multithread, 10000000000, -5340232226128654848, 3.809456, 2
multitask_fork, 10000000000, -5340232226128654848, 3.861437, 2
multitask_popen, 10000000000, -5340232226128654848, 3.863791, 2
multithread, 10000000000, -5340232226128654848, 1.930105, 4
multitask_fork, 10000000000, -5340232226128654848, 1.933157, 4
multitask_popen, 10000000000, -5340232226128654848, 1.934951, 4
multithread, 10000000000, -5340232226128654848, 1.433814, 8
multitask_fork, 10000000000, -5340232226128654848, 1.439272, 8
multitask_popen, 10000000000, -5340232226128654848, 1.434907, 8
baseline, 100000000, 4999999950000000, 0.079064, 1
multithread, 100000000, 4999999950000000, 0.076102, 1
multitask_fork, 100000000, 4999999950000000, 0.077907, 1
multitask_popen, 100000000, 4999999950000000, 0.078931, 1
multithread, 100000000, 4999999950000000, 0.038545, 2
multitask_fork, 100000000, 4999999950000000, 0.039459, 2
multitask_popen, 100000000, 4999999950000000, 0.040331, 2
multithread, 100000000, 4999999950000000, 0.020441, 4
multitask_fork, 100000000, 4999999950000000, 0.020323, 4
multitask_popen, 100000000, 4999999950000000, 0.021252, 4
multithread, 100000000, 4999999950000000, 0.014739, 8
multitask_fork, 100000000, 4999999950000000, 0.015164, 8
multitask_popen, 100000000, 4999999950000000, 0.016579, 8
baseline, 1000000000, 499999999500000000, 0.789715, 1
multithread, 1000000000, 499999999500000000, 0.760800, 1
multitask_fork, 1000000000, 499999999500000000, 0.773551, 1
multitask_popen, 1000000000, 499999999500000000, 0.774012, 1
multithread, 1000000000, 499999999500000000, 0.380612, 2
multitask_fork, 1000000000, 499999999500000000, 0.386519, 2
multitask_popen, 1000000000, 499999999500000000, 0.387837, 2
multithread, 1000000000, 499999999500000000, 0.193638, 4
multitask_fork, 1000000000, 499999999500000000, 0.195528, 4
multitask_popen, 1000000000, 499999999500000000, 0.195959, 4
multithread, 1000000000, 499999999500000000, 0.150070, 8
multitask_fork, 1000000000, 499999999500000000, 0.144650, 8
multitask_popen, 1000000000, 499999999500000000, 0.148994, 8
baseline, 10000000000, -5340232226128654848, 7.894290, 1
multithread, 10000000000, -5340232226128654848, 7.612088, 1
multitask_fork, 10000000000, -5340232226128654848, 7.726014, 1
multitask_popen, 10000000000, -5340232226128654848, 7.729225, 1
multithread, 10000000000, -5340232226128654848, 3.800784, 2
multitask_fork, 10000000000, -5340232226128654848, 3.861659, 2
multitask_popen, 10000000000, -5340232226128654848, 3.862303, 2
multithread, 10000000000, -5340232226128654848, 1.931773, 4
multitask_fork, 10000000000, -5340232226128654848, 1.935055, 4
multitask_popen, 10000000000, -5340232226128654848, 1.937858, 4
multithread, 10000000000, -5340232226128654848, 1.453064, 8
multitask_fork, 10000000000, -5340232226128654848, 1.440755, 8
multitask_popen, 10000000000, -5340232226128654848, 1.439478, 8
baseline, 100000000, 4999999950000000, 0.079243, 1
multithread, 100000000, 4999999950000000, 0.076424, 1
multitask_fork, 100000000, 4999999950000000, 0.077821, 1
multitask_popen, 100000000, 4999999950000000, 0.079149, 1
multithread, 100000000, 4999999950000000, 0.038550, 2
multitask_fork, 100000000, 4999999950000000, 0.039656, 2
multitask_popen, 100000000, 4999999950000000, 0.040630, 2
multithread, 100000000, 4999999950000000, 0.019848, 4
multitask_fork, 100000000, 4999999950000000, 0.020101, 4
multitask_popen, 100000000, 4999999950000000, 0.021051, 4
multithread, 100000000, 4999999950000000, 0.017476, 8
multitask_fork, 100000000, 4999999950000000, 0.015197, 8
multitask_popen, 100000000, 4999999950000000, 0.016587, 8
baseline, 1000000000, 499999999500000000, 0.790097, 1
multithread, 1000000000, 499999999500000000, 0.760553, 1
multitask_fork, 1000000000, 499999999500000000, 0.773053, 1
multitask_popen, 1000000000, 499999999500000000, 0.774272, 1
multithread, 1000000000, 499999999500000000, 0.385006, 2
multitask_fork, 1000000000, 499999999500000000, 0.387327, 2
multitask_popen, 1000000000, 499999999500000000, 0.389482, 2
multithread, 1000000000, 499999999500000000, 0.193715, 4
multitask_fork, 1000000000, 499999999500000000, 0.195442, 4
multitask_popen, 1000000000, 499999999500000000, 0.196368, 4
multithread, 1000000000, 499999999500000000, 0.149892, 8
multitask_fork, 1000000000, 499999999500000000, 0.144699, 8
multitask_popen, 1000000000, 499999999500000000, 0.155386, 8
baseline, 10000000000, -5340232226128654848, 7.897149, 1
multithread, 10000000000, -5340232226128654848, 7.612677, 1
multitask_fork, 10000000000, -5340232226128654848, 7.725963, 1
multitask_popen, 10000000000, -5340232226128654848, 7.729827, 1
multithread, 10000000000, -5340232226128654848, 3.811796, 2
multitask_fork, 10000000000, -5340232226128654848, 3.861509, 2
multitask_popen, 10000000000, -5340232226128654848, 3.862715, 2
multithread, 10000000000, -5340232226128654848, 1.931247, 4
multitask_fork, 10000000000, -5340232226128654848, 1.935125, 4
multitask_popen, 10000000000, -5340232226128654848, 1.937350, 4
multithread, 10000000000, -5340232226128654848, 1.440861, 8
multitask_fork, 10000000000, -5340232226128654848, 1.437644, 8
multitask_popen, 10000000000, -5340232226128654848, 1.445004, 8
baseline, 100000000, 4999999950000000, 0.079190, 1
multithread, 100000000, 4999999950000000, 0.076726, 1
multitask_fork, 100000000, 4999999950000000, 0.077578, 1
multitask_popen, 100000000, 4999999950000000, 0.079246, 1
multithread, 100000000, 4999999950000000, 0.038863, 2
multitask_fork, 100000000, 4999999950000000, 0.038977, 2
multitask_popen, 100000000, 4999999950000000, 0.040208, 2
multithread, 100000000, 4999999950000000, 0.020122, 4
multitask_fork, 100000000, 4999999950000000, 0.020177, 4
multitask_popen, 100000000, 4999999950000000, 0.021155, 4
multithread, 100000000, 4999999950000000, 0.018099, 8
multitask_fork, 100000000, 4999999950000000, 0.018712, 8
multitask_popen, 100000000, 4999999950000000, 0.016321, 8
baseline, 1000000000, 499999999500000000, 0.794598, 1
multithread, 1000000000, 499999999500000000, 0.762796, 1
multitask_fork, 1000000000, 499999999500000000, 0.773256, 1
multitask_popen, 1000000000, 499999999500000000, 0.774152, 1
multithread, 1000000000, 499999999500000000, 0.381421, 2
multitask_fork, 1000000000, 499999999500000000, 0.387860, 2
multitask_popen, 1000000000, 499999999500000000, 0.387859, 2
multithread, 1000000000, 499999999500000000, 0.193995, 4
multitask_fork, 1000000000, 499999999500000000, 0.194859, 4
multitask_popen, 1000000000, 499999999500000000, 0.196134, 4
multithread, 1000000000, 499999999500000000, 0.148907, 8
multitask_fork, 1000000000, 499999999500000000, 0.149351, 8
multitask_popen, 1000000000, 499999999500000000, 0.146701, 8
baseline, 10000000000, -5340232226128654848, 7.896341, 1
multithread, 10000000000, -5340232226128654848, 7.591621, 1
multitask_fork, 10000000000, -5340232226128654848, 7.727661, 1
multitask_popen, 10000000000, -5340232226128654848, 7.727380, 1
multithread, 10000000000, -5340232226128654848, 3.805137, 2
multitask_fork, 10000000000, -5340232226128654848, 3.861618, 2
multitask_popen, 10000000000, -5340232226128654848, 3.862230, 2
multithread, 10000000000, -5340232226128654848, 1.930029, 4
multitask_fork, 10000000000, -5340232226128654848, 1.933142, 4
multitask_popen, 10000000000, -5340232226128654848, 1.935496, 4
multithread, 10000000000, -5340232226128654848, 1.444822, 8
multitask_fork, 10000000000, -5340232226128654848, 1.431847, 8
multitask_popen, 10000000000, -5340232226128654848, 1.445170, 8
baseline, 100000000, 4999999950000000, 0.079761, 1
multithread, 100000000, 4999999950000000, 0.077185, 1
multitask_fork, 100000000, 4999999950000000, 0.080026, 1
multitask_popen, 100000000, 4999999950000000, 0.078666, 1
multithread, 100000000, 4999999950000000, 0.038819, 2
multitask_fork, 100000000, 4999999950000000, 0.039294, 2
multitask_popen, 100000000, 4999999950000000, 0.040064, 2
multithread, 100000000, 4999999950000000, 0.019818, 4
multitask_fork, 100000000, 4999999950000000, 0.020316, 4
multitask_popen, 100000000, 4999999950000000, 0.020980, 4
multithread, 100000000, 4999999950000000, 0.015246, 8
multitask_fork, 100000000, 4999999950000000, 0.015447, 8
multitask_popen, 100000000, 4999999950000000, 0.018333, 8
baseline, 1000000000, 499999999500000000, 0.789846, 1
multithread, 1000000000, 499999999500000000, 0.776938, 1
multitask_fork, 1000000000, 499999999500000000, 0.774369, 1
multitask_popen, 1000000000, 499999999500000000, 0.775898, 1
multithread, 1000000000, 499999999500000000, 0.382022, 2
multitask_fork, 1000000000, 499999999500000000, 0.387191, 2
multitask_popen, 1000000000, 499999999500000000, 0.388353, 2
multithread, 1000000000, 499999999500000000, 0.194324, 4
multitask_fork, 1000000000, 499999999500000000, 0.194472, 4
multitask_popen, 1000000000, 499999999500000000, 0.195726, 4
multithread, 1000000000, 499999999500000000, 0.148408, 8
multitask_fork, 1000000000, 499999999500000000, 0.144901, 8
multitask_popen, 1000000000, 499999999500000000, 0.146383, 8
baseline, 10000000000, -5340232226128654848, 7.881971, 1
multithread, 10000000000, -5340232226128654848, 7.617357, 1
multitask_fork, 10000000000, -5340232226128654848, 7.728268, 1
multitask_popen, 10000000000, -5340232226128654848, 7.725294, 1
multithread, 10000000000, -5340232226128654848, 3.798701, 2
multitask_fork, 10000000000, -5340232226128654848, 3.862373, 2
multitask_popen, 10000000000, -5340232226128654848, 3.863545, 2
multithread, 10000000000, -5340232226128654848, 1.933436, 4
multitask_fork, 10000000000, -5340232226128654848, 1.937821, 4
multitask_popen, 10000000000, -5340232226128654848, 1.937994, 4
multithread, 10000000000, -5340232226128654848, 1.441869, 8
multitask_fork, 10000000000, -5340232226128654848, 1.434447, 8
multitask_popen, 10000000000, -5340232226128654848, 1.452204, 8
baseline, 100000000, 4999999950000000, 0.079203, 1
multithread, 100000000, 4999999950000000, 0.076967, 1
multitask_fork, 100000000, 4999999950000000, 0.077422, 1
multitask_popen, 100000000, 4999999950000000, 0.078687, 1
multithread, 100000000, 4999999950000000, 0.038455, 2
multitask_fork, 100000000, 4999999950000000, 0.039321, 2
multitask_popen, 100000000, 4999999950000000, 0.040035, 2
multithread, 100000000, 4999999950000000, 0.019418, 4
multitask_fork, 100000000, 4999999950000000, 0.020238, 4
multitask_popen, 100000000, 4999999950000000, 0.020912, 4
multithread, 100000000, 4999999950000000, 0.017605, 8
multitask_fork, 100000000, 4999999950000000, 0.015231, 8
multitask_popen, 100000000, 4999999950000000, 0.016687, 8
baseline, 1000000000, 499999999500000000, 0.789901, 1
multithread, 1000000000, 499999999500000000, 0.759590, 1
multitask_fork, 1000000000, 499999999500000000, 0.773467, 1
multitask_popen, 1000000000, 499999999500000000, 0.775203, 1
multithread, 1000000000, 499999999500000000, 0.380311, 2
multitask_fork, 1000000000, 499999999500000000, 0.386940, 2
multitask_popen, 1000000000, 499999999500000000, 0.388377, 2
multithread, 1000000000, 499999999500000000, 0.192965, 4
multitask_fork, 1000000000, 499999999500000000, 0.194586, 4
multitask_popen, 1000000000, 499999999500000000, 0.195234, 4
multithread, 1000000000, 499999999500000000, 0.147830, 8
multitask_fork, 1000000000, 499999999500000000, 0.147795, 8
multitask_popen, 1000000000, 499999999500000000, 0.147119, 8
baseline, 10000000000, -5340232226128654848, 7.895080, 1
multithread, 10000000000, -5340232226128654848, 7.591958, 1
multitask_fork, 10000000000, -5340232226128654848, 7.728081, 1
multitask_popen, 10000000000, -5340232226128654848, 7.727870, 1
multithread, 10000000000, -5340232226128654848, 3.798428, 2
multitask_fork, 10000000000, -5340232226128654848, 3.860947, 2
multitask_popen, 10000000000, -5340232226128654848, 3.862599, 2
multithread, 10000000000, -5340232226128654848, 1.935768, 4
multitask_fork, 10000000000, -5340232226128654848, 1.933213, 4
multitask_popen, 10000000000, -5340232226128654848, 1.934515, 4
multithread, 10000000000, -5340232226128654848, 1.443142, 8
multitask_fork, 10000000000, -5340232226128654848, 1.435091, 8
multitask_popen, 10000000000, -5340232226128654848, 1.436005, 8
baseline, 100000000, 4999999950000000, 0.079016, 1
multithread, 100000000, 4999999950000000, 0.076296, 1
multitask_fork, 100000000, 4999999950000000, 0.077565, 1
multitask_popen, 100000000, 4999999950000000, 0.078628, 1
multithread, 100000000, 4999999950000000, 0.038175, 2
multitask_fork, 100000000, 4999999950000000, 0.039276, 2
multitask_popen, 100000000, 4999999950000000, 0.040065, 2
multithread, 100000000, 4999999950000000, 0.019662, 4
multitask_fork, 100000000, 4999999950000000, 0.020244, 4
multitask_popen, 100000000, 4999999950000000, 0.020807, 4
multithread, 100000000, 4999999950000000, 0.014643, 8
multitask_fork, 100000000, 4999999950000000, 0.016950, 8
multitask_popen, 100000000, 4999999950000000, 0.018319, 8
baseline, 1000000000, 499999999500000000, 0.789411, 1
multithread, 1000000000, 499999999500000000, 0.761178, 1
multitask_fork, 1000000000, 499999999500000000, 0.774543, 1
multitask_popen, 1000000000, 499999999500000000, 0.773913, 1
multithread, 1000000000, 499999999500000000, 0.380126, 2
multitask_fork, 1000000000, 499999999500000000, 0.386472, 2
multitask_popen, 1000000000, 499999999500000000, 0.387898, 2
multithread, 1000000000, 499999999500000000, 0.192301, 4
multitask_fork, 1000000000, 499999999500000000, 0.194508, 4
multitask_popen, 1000000000, 499999999500000000, 0.195130, 4
multithread, 1000000000, 499999999500000000, 0.142209, 8
multitask_fork, 1000000000, 499999999500000000, 0.144282, 8
multitask_popen, 1000000000, 499999999500000000, 0.146573, 8
baseline, 10000000000, -5340232226128654848, 7.894829, 1
multithread, 10000000000, -5340232226128654848, 7.609500, 1
multitask_fork, 10000000000, -5340232226128654848, 7.726839, 1
multitask_popen, 10000000000, -5340232226128654848, 7.728078, 1
multithread, 10000000000, -5340232226128654848, 3.797540, 2
multitask_fork, 10000000000, -5340232226128654848, 3.860801, 2
multitask_popen, 10000000000, -5340232226128654848, 3.862756, 2
multithread, 10000000000, -5340232226128654848, 1.930812, 4
multitask_fork, 10000000000, -5340232226128654848, 1.938950, 4
multitask_popen, 10000000000, -5340232226128654848, 1.935961, 4
multithread, 10000000000, -5340232226128654848, 1.439040, 8
multitask_fork, 10000000000, -5340232226128654848, 1.438266, 8
multitask_popen, 10000000000, -5340232226128654848, 1.455299, 8
baseline, 100000000, 4999999950000000, 0.078908, 1
multithread, 100000000, 4999999950000000, 0.077045, 1
multitask_fork, 100000000, 4999999950000000, 0.077950, 1
multitask_popen, 100000000, 4999999950000000, 0.079305, 1
multithread, 100000000, 4999999950000000, 0.038302, 2
multitask_fork, 100000000, 4999999950000000, 0.039312, 2
multitask_popen, 100000000, 4999999950000000, 0.040407, 2
multithread, 100000000, 4999999950000000, 0.019557, 4
multitask_fork, 100000000, 4999999950000000, 0.020139, 4
multitask_popen, 100000000, 4999999950000000, 0.020677, 4
multithread, 100000000, 4999999950000000, 0.015092, 8
multitask_fork, 100000000, 4999999950000000, 0.018321, 8
multitask_popen, 100000000, 4999999950000000, 0.017286, 8
baseline, 1000000000, 499999999500000000, 0.789919, 1
multithread, 1000000000, 499999999500000000, 0.764128, 1
multitask_fork, 1000000000, 499999999500000000, 0.773159, 1
multitask_popen, 1000000000, 499999999500000000, 0.774089, 1
multithread, 1000000000, 499999999500000000, 0.380180, 2
multitask_fork, 1000000000, 499999999500000000, 0.387084, 2
multitask_popen, 1000000000, 499999999500000000, 0.387952, 2
multithread, 1000000000, 499999999500000000, 0.192302, 4
multitask_fork, 1000000000, 499999999500000000, 0.194286, 4
multitask_popen, 1000000000, 499999999500000000, 0.196218, 4
multithread, 1000000000, 499999999500000000, 0.145508, 8
multitask_fork, 1000000000, 499999999500000000, 0.144406, 8
multitask_popen, 1000000000, 499999999500000000, 0.146629, 8
baseline, 10000000000, -5340232226128654848, 7.894467, 1
multithread, 10000000000, -5340232226128654848, 7.612106, 1
multitask_fork, 10000000000, -5340232226128654848, 7.726019, 1
multitask_popen, 10000000000, -5340232226128654848, 7.727312, 1
multithread, 10000000000, -5340232226128654848, 3.795946, 2
multitask_fork, 10000000000, -5340232226128654848, 3.861049, 2
multitask_popen, 10000000000, -5340232226128654848, 3.862536, 2
multithread, 10000000000, -5340232226128654848, 1.945120, 4
multitask_fork, 10000000000, -5340232226128654848, 1.931994, 4
multitask_popen, 10000000000, -5340232226128654848, 1.937696, 4
multithread, 10000000000, -5340232226128654848, 1.442350, 8
multitask_fork, 10000000000, -5340232226128654848, 1.431178, 8
multitask_popen, 10000000000, -5340232226128654848, 1.439935, 8
baseline, 100000000, 4999999950000000, 0.079356, 1
multithread, 100000000, 4999999950000000, 0.076472, 1
multitask_fork, 100000000, 4999999950000000, 0.077861, 1
multitask_popen, 100000000, 4999999950000000, 0.078972, 1
multithread, 100000000, 4999999950000000, 0.038180, 2
multitask_fork, 100000000, 4999999950000000, 0.039270, 2
multitask_popen, 100000000, 4999999950000000, 0.040083, 2
multithread, 100000000, 4999999950000000, 0.019203, 4
multitask_fork, 100000000, 4999999950000000, 0.020637, 4
multitask_popen, 100000000, 4999999950000000, 0.021104, 4
multithread, 100000000, 4999999950000000, 0.015058, 8
multitask_fork, 100000000, 4999999950000000, 0.015183, 8
multitask_popen, 100000000, 4999999950000000, 0.016426, 8
baseline, 1000000000, 499999999500000000, 0.789644, 1
multithread, 1000000000, 499999999500000000, 0.760884, 1
multitask_fork, 1000000000, 499999999500000000, 0.773410, 1
multitask_popen, 1000000000, 499999999500000000, 0.774442, 1
multithread, 1000000000, 499999999500000000, 0.380294, 2
multitask_fork, 1000000000, 499999999500000000, 0.386508, 2
multitask_popen, 1000000000, 499999999500000000, 0.388540, 2
multithread, 1000000000, 499999999500000000, 0.192273, 4
multitask_fork, 1000000000, 499999999500000000, 0.194158, 4
multitask_popen, 1000000000, 499999999500000000, 0.194993, 4
multithread, 1000000000, 499999999500000000, 0.143831, 8
multitask_fork, 1000000000, 499999999500000000, 0.144432, 8
multitask_popen, 1000000000, 499999999500000000, 0.150426, 8
baseline, 10000000000, -5340232226128654848, 7.895671, 1
multithread, 10000000000, -5340232226128654848, 7.602844, 1
multitask_fork, 10000000000, -5340232226128654848, 7.725840, 1
multitask_popen, 10000000000, -5340232226128654848, 7.727560, 1
multithread, 10000000000, -5340232226128654848, 3.804033, 2
multitask_fork, 10000000000, -5340232226128654848, 3.862808, 2
multitask_popen, 10000000000, -5340232226128654848, 3.862228, 2
multithread, 10000000000, -5340232226128654848, 1.933159, 4
multitask_fork, 10000000000, -5340232226128654848, 1.933187, 4
multitask_popen, 10000000000, -5340232226128654848, 1.937801, 4
multithread, 10000000000, -5340232226128654848, 1.441994, 8
multitask_fork, 10000000000, -5340232226128654848, 1.436694, 8
multitask_popen, 10000000000, -5340232226128654848, 1.438029, 8
baseline, 100000000, 4999999950000000, 0.079322, 1
multithread, 100000000, 4999999950000000, 0.076080, 1
multitask_fork, 100000000, 4999999950000000, 0.077509, 1
multitask_popen, 100000000, 4999999950000000, 0.078815, 1
multithread, 100000000, 4999999950000000, 0.038451, 2
multitask_fork, 100000000, 4999999950000000, 0.039445, 2
multitask_popen, 100000000, 4999999950000000, 0.040174, 2
multithread, 100000000, 4999999950000000, 0.019621, 4
multitask_fork, 100000000, 4999999950000000, 0.020099, 4
multitask_popen, 100000000, 4999999950000000, 0.020902, 4
multithread, 100000000, 4999999950000000, 0.017620, 8
multitask_fork, 100000000, 4999999950000000, 0.015286, 8
multitask_popen, 100000000, 4999999950000000, 0.018809, 8
baseline, 1000000000, 499999999500000000, 0.789632, 1
multithread, 1000000000, 499999999500000000, 0.759551, 1
multitask_fork, 1000000000, 499999999500000000, 0.772860, 1
multitask_popen, 1000000000, 499999999500000000, 0.775444, 1
multithread, 1000000000, 499999999500000000, 0.380731, 2
multitask_fork, 1000000000, 499999999500000000, 0.386502, 2
multitask_popen, 1000000000, 499999999500000000, 0.388184, 2
multithread, 1000000000, 499999999500000000, 0.193822, 4
multitask_fork, 1000000000, 499999999500000000, 0.194117, 4
multitask_popen, 1000000000, 499999999500000000, 0.194703, 4
multithread, 1000000000, 499999999500000000, 0.152050, 8
multitask_fork, 1000000000, 499999999500000000, 0.162632, 8
multitask_popen, 1000000000, 499999999500000000, 0.145311, 8
baseline, 10000000000, -5340232226128654848, 7.895281, 1
multithread, 10000000000, -5340232226128654848, 7.612725, 1
multitask_fork, 10000000000, -5340232226128654848, 7.728489, 1
multitask_popen, 10000000000, -5340232226128654848, 7.727319, 1
multithread, 10000000000, -5340232226128654848, 3.800201, 2
multitask_fork, 10000000000, -5340232226128654848, 3.860968, 2
multitask_popen, 10000000000, -5340232226128654848, 3.862017, 2
multithread, 10000000000, -5340232226128654848, 1.927257, 4
multitask_fork, 10000000000, -5340232226128654848, 1.932670, 4
multitask_popen, 10000000000, -5340232226128654848, 1.933441, 4
multithread, 10000000000, -5340232226128654848, 1.443483, 8
multitask_fork, 10000000000, -5340232226128654848, 1.437846, 8
multitask_popen, 10000000000, -5340232226128654848, 1.438420, 8
baseline, 100000000, 4999999950000000, 0.079118, 1
multithread, 100000000, 4999999950000000, 0.076075, 1
multitask_fork, 100000000, 4999999950000000, 0.077485, 1
multitask_popen, 100000000, 4999999950000000, 0.079182, 1
multithread, 100000000, 4999999950000000, 0.038381, 2
multitask_fork, 100000000, 4999999950000000, 0.039246, 2
multitask_popen, 100000000, 4999999950000000, 0.040513, 2
multithread, 100000000, 4999999950000000, 0.019487, 4
multitask_fork, 100000000, 4999999950000000, 0.020193, 4
multitask_popen, 100000000, 4999999950000000, 0.020740, 4
multithread, 100000000, 4999999950000000, 0.017004, 8
multitask_fork, 100000000, 4999999950000000, 0.016900, 8
multitask_popen, 100000000, 4999999950000000, 0.018217, 8
baseline, 1000000000, 499999999500000000, 0.789664, 1
multithread, 1000000000, 499999999500000000, 0.759895, 1
multitask_fork, 1000000000, 499999999500000000, 0.773163, 1
multitask_popen, 1000000000, 499999999500000000, 0.774681, 1
multithread, 1000000000, 499999999500000000, 0.381280, 2
multitask_fork, 1000000000, 499999999500000000, 0.387026, 2
multitask_popen, 1000000000, 499999999500000000, 0.388198, 2
multithread, 1000000000, 499999999500000000, 0.192634, 4
multitask_fork, 1000000000, 499999999500000000, 0.194337, 4
multitask_popen, 1000000000, 499999999500000000, 0.195214, 4
multithread, 1000000000, 499999999500000000, 0.142731, 8
multitask_fork, 1000000000, 499999999500000000, 0.151884, 8
multitask_popen, 1000000000, 499999999500000000, 0.149099, 8
baseline, 10000000000, -5340232226128654848, 7.895116, 1
multithread, 10000000000, -5340232226128654848, 7.591280, 1
multitask_fork, 10000000000, -5340232226128654848, 7.726350, 1
multitask_popen, 10000000000, -5340232226128654848, 7.727830, 1
multithread, 10000000000, -5340232226128654848, 3.800081, 2
multitask_fork, 10000000000, -5340232226128654848, 3.860920, 2
multitask_popen, 10000000000, -5340232226128654848, 3.861887, 2
multithread, 10000000000, -5340232226128654848, 1.928112, 4
multitask_fork, 10000000000, -5340232226128654848, 1.932299, 4
multitask_popen, 10000000000, -5340232226128654848, 1.934599, 4
multithread, 10000000000, -5340232226128654848, 1.440864, 8
multitask_fork, 10000000000, -5340232226128654848, 1.439126, 8
multitask_popen, 10000000000, -5340232226128654848, 1.447697, 8
baseline, 100000000, 4999999950000000, 0.079075, 1
multithread, 100000000, 4999999950000000, 0.076686, 1
multitask_fork, 100000000, 4999999950000000, 0.077443, 1
multitask_popen, 100000000, 4999999950000000, 0.078654, 1
multithread, 100000000, 4999999950000000, 0.038399, 2
multitask_fork, 100000000, 4999999950000000, 0.039212, 2
multitask_popen, 100000000, 4999999950000000, 0.040148, 2
multithread, 100000000, 4999999950000000, 0.019385, 4
multitask_fork, 100000000, 4999999950000000, 0.020180, 4
multitask_popen, 100000000, 4999999950000000, 0.020696, 4
multithread, 100000000, 4999999950000000, 0.017661, 8
multitask_fork, 100000000, 4999999950000000, 0.015450, 8
multitask_popen, 100000000, 4999999950000000, 0.019344, 8
baseline, 1000000000, 499999999500000000, 0.790349, 1
multithread, 1000000000, 499999999500000000, 0.762423, 1
multitask_fork, 1000000000, 499999999500000000, 0.772267, 1
