Type, Quantum, Average Response Time, Context Switch Time
mlfq, 95000, 0.96260848, 0.00006272
rr, 95000, 0.88003458, 0.00017439
mlfq, 100000, 0.97943698, 0.00005923
rr, 100000, 0.90147472, 0.00015980
mlfq, 105000, 0.99568465, 0.00006195
rr, 105000, 0.84151434, 0.00015365
mlfq, 110000, 1.00970785, 0.00017132
rr, 110000, 0.88152672, 0.00016322
mlfq, 115000, 1.02808580, 0.00006013
rr, 115000, 0.92168746, 0.00016322
mlfq, 120000, 1.04452408, 0.00005734
rr, 120000, 0.93210937, 0.00015498
mlfq, 125000, 1.06020547, 0.00006272
rr, 125000, 0.97044710, 0.00019807
mlfq, 130000, 1.07694518, 0.00005832
rr, 130000, 0.97661073, 0.00014262
mlfq, 135000, 1.09310908, 0.00006593
rr, 135000, 1.01436371, 0.00032644
mlfq, 140000, 1.10882586, 0.00006181
rr, 140000, 1.05175300, 0.00015386
mlfq, 145000, 1.12583609, 0.00006265
rr, 145000, 1.05277141, 0.00018780
mlfq, 150000, 1.13952365, 0.00006013
rr, 150000, 1.08900482, 0.00024500
mlfq, 155000, 1.15846462, 0.00007550
rr, 155000, 1.00896573, 0.00015484
mlfq, 160000, 1.17465729, 0.00005930
rr, 160000, 1.04162411, 0.00015030
mlfq, 165000, 1.18925309, 0.00004498
rr, 165000, 1.03287890, 0.00012942
mlfq, 170000, 1.20494754, 0.00005769
rr, 170000, 1.06410925, 0.00015267
mlfq, 175000, 1.22262913, 0.00006383
rr, 175000, 1.09528479, 0.00015170
mlfq, 180000, 1.23954565, 0.00005811
rr, 180000, 1.12629824, 0.00014185
mlfq, 185000, 1.25560129, 0.00006034
rr, 185000, 1.15780310, 0.00015519
mlfq, 190000, 1.27167241, 0.00006153
rr, 190000, 1.18902844, 0.00015714
mlfq, 195000, 1.28830380, 0.00006237
rr, 195000, 1.17161390, 0.00018103
mlfq, 200000, 1.30445181, 0.00006286
rr, 200000, 1.20133000, 0.00014080
mlfq, 205000, 1.32059665, 0.00006768
rr, 205000, 1.23146330, 0.00014750
mlfq, 210000, 1.33684822, 0.00005448
rr, 210000, 1.26129667, 0.00014289
mlfq, 215000, 1.35337847, 0.00006391
rr, 215000, 1.29154790, 0.00015819
mlfq, 220000, 1.36907598, 0.00006740
rr, 220000, 1.32127442, 0.00014304
mlfq, 225000, 1.38604550, 0.00006285
rr, 225000, 1.35153754, 0.00014045
mlfq, 230000, 1.40187807, 0.00006209
rr, 230000, 1.38153479, 0.00016336
mlfq, 235000, 1.41869688, 0.00022517
rr, 235000, 1.35258856, 0.00014066
mlfq, 240000, 1.43421353, 0.00005971
rr, 240000, 1.38157659, 0.00015239
mlfq, 245000, 1.45118039, 0.00005713
rr, 245000, 1.41029111, 0.00031324
mlfq, 250000, 1.46644676, 0.00004910
rr, 250000, 1.43871718, 0.00015051
fcfs, 0, 1.42261590, 0.00000761
sjf, 0, 0.51654398, 0.00000810
mlfq, 0, 1.41814564, 0.00001704
rr, 0, 0.80467865, 0.05198635
mlfq, 5000, 1.42651054, 0.00001893
rr, 5000, 0.66949235, 0.00102855
mlfq, 10000, 1.43368768, 0.00001676
rr, 10000, 0.67204297, 0.00057256
mlfq, 15000, 1.44052963, 0.00001613
rr, 15000, 0.69509150, 0.00041389
mlfq, 20000, 1.08264430, 0.00005385
rr, 20000, 0.69364479, 0.00031917
mlfq, 25000, 1.09603923, 0.00003772
rr, 25000, 0.70953271, 0.00029319
mlfq, 30000, 1.11354996, 0.00007927
rr, 30000, 0.70785744, 0.00027797
mlfq, 35000, 1.12622900, 0.00005126
rr, 35000, 0.71956287, 0.00019946
mlfq, 40000, 1.13616457, 0.00003206
rr, 40000, 0.75259562, 0.00023202
mlfq, 45000, 1.14845590, 0.00004903
rr, 45000, 0.72205649, 0.00022566
mlfq, 50000, 1.16522966, 0.00005063
rr, 50000, 0.77735365, 0.00023166
mlfq, 55000, 1.17745164, 0.00006258
rr, 55000, 0.78581410, 0.00021769
mlfq, 60000, 1.19014349, 0.00004868
rr, 60000, 0.82723408, 0.00022740
mlfq, 65000, 1.20208471, 0.00003911
rr, 65000, 0.81446685, 0.00019004
mlfq, 70000, 1.21266098, 0.00005057
rr, 70000, 0.85943351, 0.00020876
mlfq, 75000, 1.22720224, 0.00005196
rr, 75000, 0.90192041, 0.00025646
mlfq, 80000, 1.23971495, 0.00004658
rr, 80000, 0.88200777, 0.00020694
mlfq, 85000, 0.93076177, 0.00005999
rr, 85000, 0.80918086, 0.00017642
mlfq, 90000, 0.94645709, 0.00005909
rr, 90000, 0.83400210, 0.00018075
mlfq, 95000, 0.96265128, 0.00006216
rr, 95000, 0.88046529, 0.00032853
mlfq, 100000, 0.97935272, 0.00005811
rr, 100000, 0.90144110, 0.00015973
mlfq, 105000, 0.99497338, 0.00004393
rr, 105000, 0.84150447, 0.00013843
mlfq, 110000, 1.00918776, 0.00006481
rr, 110000, 0.88175355, 0.00019639
mlfq, 115000, 1.02790363, 0.00006279
rr, 115000, 0.92184958, 0.00016308
mlfq, 120000, 1.04428656, 0.00006467
rr, 120000, 0.93181099, 0.00016643
mlfq, 125000, 1.06051611, 0.00005832
rr, 125000, 0.97042204, 0.00015267
mlfq, 130000, 1.07647452, 0.00005084
rr, 130000, 0.97674140, 0.00014283
mlfq, 135000, 1.09318951, 0.00006328
rr, 135000, 1.01421790, 0.00015924
mlfq, 140000, 1.10905216, 0.00008974
rr, 140000, 1.05173594, 0.00016252
mlfq, 145000, 1.12554258, 0.00006146
rr, 145000, 1.05278902, 0.00012145
mlfq, 150000, 1.13913331, 0.00006314
rr, 150000, 1.08898923, 0.00015365
mlfq, 155000, 1.15807301, 0.00006097
rr, 155000, 1.00900505, 0.00013577
mlfq, 160000, 1.17440177, 0.00005853
rr, 160000, 1.04143905, 0.00015693
mlfq, 165000, 1.19054181, 0.00006118
rr, 165000, 1.03283087, 0.00013095
mlfq, 170000, 1.20459446, 0.00006013
rr, 170000, 1.06405660, 0.00015114
mlfq, 175000, 1.22352043, 0.00005629
rr, 175000, 1.09521568, 0.00020240
mlfq, 180000, 1.23956966, 0.00006349
rr, 180000, 1.12667046, 0.00015540
mlfq, 185000, 1.25587054, 0.00005860
rr, 185000, 1.15775299, 0.00022559
mlfq, 190000, 1.27232250, 0.00017900
rr, 190000, 1.18911714, 0.00015232
mlfq, 195000, 1.28776643, 0.00006013
rr, 195000, 1.17165230, 0.00031694
mlfq, 200000, 1.30421462, 0.00005978
rr, 200000, 1.20140423, 0.00015770
mlfq, 205000, 1.32081738, 0.00005755
rr, 205000, 1.23123279, 0.00015100
mlfq, 210000, 1.33705825, 0.00005902
rr, 210000, 1.26153324, 0.00015016
mlfq, 215000, 1.35341938, 0.00006314
rr, 215000, 1.29130693, 0.00015595
mlfq, 220000, 1.36979686, 0.00006041
rr, 220000, 1.32127664, 0.00016035
mlfq, 225000, 1.38540450, 0.00006055
rr, 225000, 1.35146834, 0.00014932
mlfq, 230000, 1.40211424, 0.00006188
rr, 230000, 1.38153231, 0.00015784
mlfq, 235000, 1.41648827, 0.00003562
rr, 235000, 1.35285817, 0.00015212
