Type, Quantum, Average Response Time, Context Switch Time
mlfq, 15000, 1.44029793, 0.00001984
rr, 15000, 0.69555176, 0.00046885
mlfq, 16000, 1.07249900, 0.00002388
rr, 16000, 0.68063078, 0.00036610
mlfq, 17000, 1.07461170, 0.00003262
rr, 17000, 0.65402846, 0.00034578
mlfq, 18000, 1.07764807, 0.00003862
rr, 18000, 0.67908571, 0.00036618
mlfq, 19000, 1.07958372, 0.00003373
rr, 19000, 0.68744790, 0.00031547
mlfq, 20000, 1.08386897, 0.00003045
rr, 20000, 0.68900309, 0.00030130
mlfq, 21000, 1.08302480, 0.00004414
rr, 21000, 0.67015322, 0.00027155
mlfq, 22000, 1.08848473, 0.00003017
rr, 22000, 0.66958039, 0.00028104
mlfq, 23000, 1.08781670, 0.00002745
rr, 23000, 0.68753281, 0.00026742
mlfq, 24000, 1.09167923, 0.00003066
rr, 24000, 0.68691838, 0.00029026
mlfq, 25000, 1.09441488, 0.00002954
rr, 25000, 0.70961049, 0.00033559
mlfq, 26000, 1.10043288, 0.00002961
rr, 26000, 0.70509431, 0.00034236
mlfq, 27000, 1.10191753, 0.00002961
rr, 27000, 0.71823077, 0.00022566
mlfq, 28000, 1.10236549, 0.00002298
rr, 28000, 0.67456323, 0.00022181
mlfq, 29000, 1.10385613, 0.00002633
rr, 29000, 0.69217512, 0.00023864
mlfq, 30000, 1.11121503, 0.00002423
rr, 30000, 0.70690461, 0.00021413
mlfq, 31000, 1.11337211, 0.00003583
rr, 31000, 0.69175195, 0.00019220
mlfq, 32000, 1.11302416, 0.00002584
rr, 32000, 0.70660953, 0.00024298
mlfq, 33000, 1.11664489, 0.00002584
rr, 33000, 0.72076439, 0.00021134
mlfq, 34000, 1.12005223, 0.00003918
rr, 34000, 0.74233546, 0.00039139
mlfq, 35000, 1.12731309, 0.00004358
rr, 35000, 0.71977533, 0.00021895
mlfq, 36000, 1.12630982, 0.00004945
rr, 36000, 0.74059245, 0.00027189
mlfq, 37000, 1.13208330, 0.00004965
rr, 37000, 0.75191264, 0.00025373
mlfq, 38000, 1.13389041, 0.00003834
rr, 38000, 0.76296259, 0.00030360
mlfq, 39000, 1.13707711, 0.00004777
rr, 39000, 0.74348391, 0.00026707
mlfq, 40000, 1.13893431, 0.00005475
rr, 40000, 0.75228554, 0.00023990
mlfq, 41000, 1.13830291, 0.00004777
rr, 41000, 0.77130630, 0.00024940
mlfq, 42000, 1.14404072, 0.00004128
rr, 42000, 0.72677798, 0.00021309
mlfq, 43000, 1.14676312, 0.00004428
rr, 43000, 0.73335663, 0.00023795
mlfq, 44000, 1.14596419, 0.00004714
rr, 44000, 0.75035520, 0.00025813
mlfq, 45000, 1.15222595, 0.00005468
rr, 45000, 0.72237105, 0.00031854
mlfq, 46000, 1.15501265, 0.00004875
rr, 46000, 0.73811420, 0.00021567
mlfq, 47000, 1.15700077, 0.00004819
rr, 47000, 0.74255736, 0.00029641
mlfq, 48000, 1.15927625, 0.00004819
rr, 48000, 0.75814786, 0.00021267
mlfq, 49000, 1.16503536, 0.00004938
rr, 49000, 0.76123916, 0.00015330
mlfq, 50000, 1.16444665, 0.00004086
rr, 50000, 0.77691047, 0.00016783
fcfs, 0, 1.42107303, 0.00000671
sjf, 0, 0.51817113, 0.00000580
