Type, Quantum, Average Response Time, Context Switch Time
fcfs, 0, 1.42261981, 0.00000587
sjf, 0, 0.51625664, 0.00000726
mlfq, 1000, 1.42124339, 0.00001697
rr, 1000, 0.67358007, 0.00342271
mlfq, 2000, 1.42175130, 0.00001669
rr, 2000, 0.68014378, 0.00264596
mlfq, 3000, 1.42318125, 0.00001753
rr, 3000, 0.69022746, 0.00178605
mlfq, 4000, 1.42507869, 0.00001711
rr, 4000, 0.68016417, 0.00128955
mlfq, 5000, 1.42635731, 0.00001732
rr, 5000, 0.68542854, 0.00085631
mlfq, 6000, 1.42746847, 0.00002829
rr, 6000, 0.67302213, 0.00089593
mlfq, 7000, 1.42934729, 0.00001655
rr, 7000, 0.68210413, 0.00078760
mlfq, 8000, 1.43078200, 0.00001781
rr, 8000, 0.66549692, 0.00060369
mlfq, 9000, 1.43196276, 0.00001879
rr, 9000, 0.67412232, 0.00070700
mlfq, 10000, 1.43321885, 0.00001956
rr, 10000, 0.67182512, 0.00057032
mlfq, 11000, 1.43499181, 0.00001865
rr, 11000, 0.67986981, 0.00056229
mlfq, 12000, 1.43605751, 0.00001865
rr, 12000, 0.68737477, 0.00052437
mlfq, 13000, 1.43767658, 0.00001893
rr, 13000, 0.68482258, 0.00045788
mlfq, 14000, 1.43983017, 0.00001858
rr, 14000, 0.70551304, 0.00047394
mlfq, 15000, 1.44060259, 0.00001934
rr, 15000, 0.69483208, 0.00040843
mlfq, 16000, 1.07335981, 0.00002416
rr, 16000, 0.68034689, 0.00041542
mlfq, 17000, 1.07469663, 0.00002801
rr, 17000, 0.67144190, 0.00037386
mlfq, 18000, 1.07834873, 0.00002842
rr, 18000, 0.67916242, 0.00038567
mlfq, 19000, 1.08007238, 0.00002626
rr, 19000, 0.68778853, 0.00032099
mlfq, 20000, 1.08523994, 0.00004121
rr, 20000, 0.69372188, 0.00041025
mlfq, 21000, 1.08524793, 0.00003017
rr, 21000, 0.69679645, 0.00034474
mlfq, 22000, 1.08793047, 0.00004093
rr, 22000, 0.69114030, 0.00031917
mlfq, 23000, 1.09293740, 0.00003946
rr, 23000, 0.68777407, 0.00038742
mlfq, 24000, 1.09186250, 0.00004379
rr, 24000, 0.68720494, 0.00028622
mlfq, 25000, 1.09480157, 0.00003457
rr, 25000, 0.70975344, 0.00031638
mlfq, 26000, 1.10082959, 0.00003129
rr, 26000, 0.70558161, 0.00032386
mlfq, 27000, 1.10424806, 0.00003303
rr, 27000, 0.71891461, 0.00028195
mlfq, 28000, 1.10373398, 0.00003750
rr, 28000, 0.67421525, 0.00020799
mlfq, 29000, 1.10599151, 0.00005064
rr, 29000, 0.69159160, 0.00036974
mlfq, 30000, 1.11299813, 0.00004288
rr, 30000, 0.70758832, 0.00023013
mlfq, 31000, 1.11584933, 0.00005105
rr, 31000, 0.69220458, 0.00027483
mlfq, 32000, 1.11589425, 0.00004756
rr, 32000, 0.70651134, 0.00022915
mlfq, 33000, 1.11892075, 0.00005064
rr, 33000, 0.72041708, 0.00024801
mlfq, 34000, 1.12099710, 0.00005000
rr, 34000, 0.74241047, 0.00028230
mlfq, 35000, 1.12707869, 0.00003834
rr, 35000, 0.72040041, 0.00024759
mlfq, 36000, 1.12583052, 0.00004973
rr, 36000, 0.74087801, 0.00032937
mlfq, 37000, 1.13162027, 0.00004547
rr, 37000, 0.75207477, 0.00026610
mlfq, 38000, 1.13430511, 0.00004484
rr, 38000, 0.76299119, 0.00026134
mlfq, 39000, 1.13797791, 0.00004505
rr, 39000, 0.74364558, 0.00025185
mlfq, 40000, 1.13963410, 0.00005713
rr, 40000, 0.75235232, 0.00022985
mlfq, 41000, 1.13886187, 0.00005154
rr, 41000, 0.77159625, 0.00024717
mlfq, 42000, 1.14476208, 0.00004959
rr, 42000, 0.72688804, 0.00021763
mlfq, 43000, 1.14695488, 0.00003255
rr, 43000, 0.73334497, 0.00022070
mlfq, 44000, 1.14620481, 0.00003911
rr, 44000, 0.75030880, 0.00024521
mlfq, 45000, 1.15198784, 0.00004931
rr, 45000, 0.72238938, 0.00022216
mlfq, 46000, 1.15522064, 0.00004016
rr, 46000, 0.72678593, 0.00025939
mlfq, 47000, 1.15411987, 0.00009079
rr, 47000, 0.74226887, 0.00022384
mlfq, 48000, 1.15978478, 0.00004421
rr, 48000, 0.75799330, 0.00024040
mlfq, 49000, 1.16225241, 0.00004693
rr, 49000, 0.76153987, 0.00024431
mlfq, 50000, 1.16445861, 0.00004679
rr, 50000, 0.77766740, 0.00027783
fcfs, 0, 1.42242378, 0.00000810
sjf, 0, 0.51665573, 0.00000852
mlfq, 1000, 1.42053388, 0.00001753
rr, 1000, 0.69013839, 0.00344267
mlfq, 2000, 1.42185403, 0.00001718
rr, 2000, 0.70861707, 0.00217674
mlfq, 3000, 1.42317372, 0.00001725
rr, 3000, 0.66412613, 0.00165754
mlfq, 4000, 1.42454752, 0.00001949
rr, 4000, 0.67095327, 0.00135436
mlfq, 5000, 1.42590926, 0.00001774
rr, 5000, 0.67184099, 0.00108215
mlfq, 6000, 1.42706570, 0.00001802
rr, 6000, 0.65884889, 0.00089648
mlfq, 7000, 1.42901919, 0.00001816
rr, 7000, 0.66544823, 0.00079144
mlfq, 8000, 1.43091926, 0.00001878
rr, 8000, 0.66661751, 0.00069136
mlfq, 9000, 1.43285912, 0.00001816
rr, 9000, 0.66467395, 0.00062459
mlfq, 10000, 1.43424110, 0.00001962
rr, 10000, 0.68188708, 0.00062124
mlfq, 11000, 1.43736306, 0.00001767
rr, 11000, 0.68001759, 0.00062124
mlfq, 12000, 1.43670267, 0.00001767
rr, 12000, 0.69019266, 0.00049505
mlfq, 13000, 1.43844274, 0.00001823
rr, 13000, 0.68503452, 0.00047151
mlfq, 14000, 1.43994537, 0.00001844
rr, 14000, 0.67680974, 0.00040991
mlfq, 15000, 1.44213196, 0.00001920
rr, 15000, 0.69540572, 0.00055635
mlfq, 16000, 1.07299388, 0.00002277
rr, 16000, 0.68013274, 0.00038357
mlfq, 17000, 1.07418015, 0.00002200
rr, 17000, 0.67109346, 0.00035794
mlfq, 18000, 1.07948620, 0.00002381
rr, 18000, 0.67886922, 0.00034920
mlfq, 19000, 1.07894547, 0.00002633
rr, 19000, 0.68808424, 0.00033119
mlfq, 20000, 1.08287452, 0.00003827
rr, 20000, 0.69344632, 0.00034963
mlfq, 21000, 1.08607134, 0.00002961
rr, 21000, 0.66999463, 0.00034194
mlfq, 22000, 1.08760609, 0.00002766
rr, 22000, 0.66844122, 0.00029808
mlfq, 23000, 1.08919321, 0.00002850
rr, 23000, 0.68740989, 0.00032281
mlfq, 24000, 1.09169589, 0.00002975
rr, 24000, 0.68735087, 0.00034620
mlfq, 25000, 1.09506770, 0.00004058
rr, 25000, 0.70942686, 0.00029989
mlfq, 26000, 1.10100289, 0.00004183
rr, 26000, 0.70477482, 0.00029242
mlfq, 27000, 1.10252836, 0.00003206
rr, 27000, 0.71890905, 0.00029550
mlfq, 28000, 1.10400203, 0.00003988
rr, 28000, 0.67490570, 0.00025737
mlfq, 29000, 1.10675245, 0.00003890
rr, 29000, 0.69113459, 0.00023075
mlfq, 30000, 1.11018230, 0.00004819
rr, 30000, 0.70799526, 0.00027176
mlfq, 31000, 1.11562781, 0.00003136
rr, 31000, 0.70029627, 0.00027776
mlfq, 32000, 1.11832698, 0.00003178
rr, 32000, 0.70654397, 0.00022238
mlfq, 33000, 1.11839913, 0.00005210
rr, 33000, 0.72011745, 0.00025961
mlfq, 34000, 1.12077305, 0.00004435
rr, 34000, 0.74222937, 0.00026330
mlfq, 35000, 1.12632725, 0.00005050
rr, 35000, 0.72014717, 0.00023041
mlfq, 36000, 1.12550801, 0.00004875
rr, 36000, 0.74039410, 0.00027252
mlfq, 37000, 1.13124282, 0.00003548
rr, 37000, 0.75192013, 0.00028265
mlfq, 38000, 1.13453786, 0.00004847
rr, 38000, 0.76237177, 0.00025353
mlfq, 39000, 1.13661752, 0.00009296
rr, 39000, 0.74363411, 0.00023767
mlfq, 40000, 1.13956692, 0.00005091
rr, 40000, 0.75274378, 0.00037442
mlfq, 41000, 1.13877017, 0.00005056
rr, 41000, 0.77111950, 0.00025512
mlfq, 42000, 1.14455112, 0.00004588
rr, 42000, 0.72675502, 0.00022642
mlfq, 43000, 1.14697336, 0.00004497
rr, 43000, 0.73334071, 0.00024004
mlfq, 44000, 1.14562609, 0.00005252
rr, 44000, 0.75024306, 0.00023522
mlfq, 45000, 1.15169864, 0.00005608
rr, 45000, 0.72219587, 0.00022447
mlfq, 46000, 1.15414068, 0.00005119
rr, 46000, 0.73825745, 0.00022657
mlfq, 47000, 1.15705523, 0.00005196
rr, 47000, 0.74243015, 0.00023564
mlfq, 48000, 1.15975501, 0.00005196
rr, 48000, 0.75841298, 0.00024954
mlfq, 49000, 1.16210442, 0.00004980
rr, 49000, 0.76180146, 0.00023383
mlfq, 50000, 1.16460867, 0.00004791
rr, 50000, 0.77726326, 0.00030829
fcfs, 0, 1.42255014, 0.00000803
sjf, 0, 0.51690382, 0.00002256
mlfq, 1000, 1.41969404, 0.00001816
rr, 1000, 0.68661895, 0.00345261
mlfq, 2000, 1.42160907, 0.00001711
rr, 2000, 0.70825203, 0.00216768
mlfq, 3000, 1.42316143, 0.00001725
rr, 3000, 0.67240742, 0.00167347
mlfq, 4000, 1.42460981, 0.00001760
rr, 4000, 0.65728024, 0.00129060
mlfq, 5000, 1.42648994, 0.00001816
rr, 5000, 0.67679174, 0.00108695
mlfq, 6000, 1.42719565, 0.00001802
rr, 6000, 0.67850863, 0.00094410
mlfq, 7000, 1.42888806, 0.00001914
rr, 7000, 0.68170752, 0.00080114
mlfq, 8000, 1.43063588, 0.00001816
rr, 8000, 0.66416355, 0.00068256
mlfq, 9000, 1.43264018, 0.00001851
rr, 9000, 0.66453439, 0.00062018
mlfq, 10000, 1.43391393, 0.00001907
rr, 10000, 0.67194745, 0.00056417
mlfq, 11000, 1.43555459, 0.00001753
rr, 11000, 0.67137299, 0.00051425
mlfq, 12000, 1.43606501, 0.00001914
rr, 12000, 0.67141615, 0.00047841
mlfq, 13000, 1.43993877, 0.00001900
rr, 13000, 0.68451069, 0.00052032
mlfq, 14000, 1.43919737, 0.00001795
rr, 14000, 0.67661950, 0.00040891
mlfq, 15000, 1.44086064, 0.00001809
rr, 15000, 0.66439939, 0.00038406
mlfq, 16000, 1.07302445, 0.00003597
rr, 16000, 0.70889939, 0.00040326
mlfq, 17000, 1.07518089, 0.00004051
rr, 17000, 0.65397708, 0.00035619
mlfq, 18000, 1.07658369, 0.00003199
rr, 18000, 0.67907775, 0.00034795
mlfq, 19000, 1.08011327, 0.00005580
rr, 19000, 0.68786967, 0.00036303
mlfq, 20000, 1.08374334, 0.00002884
rr, 20000, 0.69367228, 0.00032895
mlfq, 21000, 1.08637222, 0.00002905
rr, 21000, 0.69674396, 0.00032008
mlfq, 22000, 1.08746414, 0.00004016
rr, 22000, 0.66872642, 0.00029166
mlfq, 23000, 1.08928961, 0.00004204
rr, 23000, 0.68734115, 0.00028132
mlfq, 24000, 1.09242360, 0.00003485
rr, 24000, 0.68711512, 0.00026792
mlfq, 25000, 1.09486712, 0.00003807
rr, 25000, 0.70904694, 0.00027999
mlfq, 26000, 1.10026360, 0.00002856
rr, 26000, 0.70524340, 0.00031478
mlfq, 27000, 1.10430245, 0.00003094
rr, 27000, 0.71896266, 0.00031274
mlfq, 28000, 1.10362951, 0.00003003
rr, 28000, 0.67438407, 0.00022957
mlfq, 29000, 1.10802640, 0.00004260
rr, 29000, 0.69128650, 0.00027685
mlfq, 30000, 1.11092859, 0.00004645
rr, 30000, 0.70739298, 0.00024515
mlfq, 31000, 1.11464294, 0.00003275
rr, 31000, 0.69217046, 0.00022516
mlfq, 32000, 1.11548289, 0.00002940
rr, 32000, 0.70650257, 0.00022908
mlfq, 33000, 1.11824651, 0.00004198
rr, 33000, 0.72888490, 0.00026232
mlfq, 34000, 1.12466700, 0.00004505
rr, 34000, 0.74243181, 0.00031393
mlfq, 35000, 1.12665616, 0.00004498
rr, 35000, 0.72010062, 0.00025932
mlfq, 36000, 1.12584372, 0.00004770
rr, 36000, 0.74082120, 0.00027999
mlfq, 37000, 1.13170976, 0.00005112
rr, 37000, 0.75200284, 0.00026023
mlfq, 38000, 1.13497681, 0.00014785
rr, 38000, 0.76259315, 0.00024200
mlfq, 39000, 1.13698076, 0.00004826
rr, 39000, 0.74374217, 0.00034180
mlfq, 40000, 1.13921736, 0.00005189
rr, 40000, 0.75255588, 0.00023648
mlfq, 41000, 1.13860856, 0.00004623
rr, 41000, 0.77129534, 0.00023724
mlfq, 42000, 1.14475145, 0.00004728
rr, 42000, 0.72703257, 0.00024508
mlfq, 43000, 1.14713981, 0.00004966
rr, 43000, 0.73338701, 0.00023523
mlfq, 44000, 1.14582724, 0.00005112
rr, 44000, 0.71729118, 0.00022950
mlfq, 45000, 1.15232364, 0.00004547
rr, 45000, 0.72180515, 0.00021979
mlfq, 46000, 1.15451719, 0.00004757
rr, 46000, 0.73838787, 0.00022489
mlfq, 47000, 1.15710101, 0.00005287
rr, 47000, 0.74239954, 0.00026806
mlfq, 48000, 1.15922408, 0.00004533
rr, 48000, 0.75833800, 0.00023145
mlfq, 49000, 1.16211046, 0.00004868
rr, 49000, 0.76192343, 0.00025318
mlfq, 50000, 1.16442142, 0.00005189
rr, 50000, 0.77737776, 0.00023613
fcfs, 0, 1.42262800, 0.00000768
sjf, 0, 0.51690248, 0.00000747
mlfq, 1000, 1.42097320, 0.00001627
rr, 1000, 0.68584504, 0.00341985
mlfq, 2000, 1.42137656, 0.00001837
rr, 2000, 0.66810125, 0.00240499
mlfq, 3000, 1.42379391, 0.00001676
rr, 3000, 0.68383782, 0.00169224
mlfq, 4000, 1.42451356, 0.00001934
rr, 4000, 0.67891576, 0.00129736
mlfq, 5000, 1.42592433, 0.00001928
rr, 5000, 0.68631223, 0.00110392
mlfq, 6000, 1.42807974, 0.00001802
rr, 6000, 0.66637190, 0.00090452
mlfq, 7000, 1.42840178, 0.00001760
rr, 7000, 0.66591943, 0.00079800
mlfq, 8000, 1.43082511, 0.00001865
rr, 8000, 0.67860727, 0.00078578
mlfq, 9000, 1.43230053, 0.00001725
rr, 9000, 0.67372960, 0.00062501
mlfq, 10000, 1.43468796, 0.00001802
rr, 10000, 0.67205313, 0.00060050
mlfq, 11000, 1.43627629, 0.00001837
rr, 11000, 0.67980911, 0.00051619
mlfq, 12000, 1.43641388, 0.00001914
rr, 12000, 0.67151811, 0.00047899
mlfq, 13000, 1.43764600, 0.00001781
rr, 13000, 0.68440023, 0.00046004
mlfq, 14000, 1.43932518, 0.00001998
rr, 14000, 0.70556960, 0.00047736
