Type, Quantum, Average Response Time, Context Switch Time, Second Queue Usage
mlfq, 20000, 1.08113254, 0.00005001, 0.750
mlfq, 21000, 1.08495781, 0.00003834, 0.750
mlfq, 22000, 1.08672232, 0.00002570, 0.750
mlfq, 23000, 1.08916908, 0.00003059, 0.750
mlfq, 24000, 1.09297928, 0.00003953, 0.750
mlfq, 25000, 1.09484566, 0.00003834, 0.750
mlfq, 26000, 1.09712856, 0.00003415, 0.750
mlfq, 27000, 1.10041112, 0.00004051, 0.750
mlfq, 28000, 1.10290723, 0.00003283, 0.750
mlfq, 29000, 1.10541080, 0.00003772, 0.750
mlfq, 30000, 1.10992878, 0.00004169, 0.750
mlfq, 31000, 1.11287004, 0.00003234, 0.750
mlfq, 32000, 1.11193958, 0.00002961, 0.750
mlfq, 81000, 1.23912840, 0.00005155, 0.750
mlfq, 82000, 1.24330802, 0.00003248, 0.750
mlfq, 83000, 1.24017276, 0.00010602, 0.750
mlfq, 84000, 0.92479018, 0.00005664, 0.500
mlfq, 85000, 0.92778187, 0.00005336, 0.500
mlfq, 86000, 0.93127428, 0.00005985, 0.500
mlfq, 87000, 0.93469388, 0.00005420, 0.500
mlfq, 88000, 0.93831405, 0.00005699, 0.500
mlfq, 89000, 0.94081189, 0.00005894, 0.500
mlfq, 90000, 0.94414178, 0.00005524, 0.500
mlfq, 91000, 0.94777257, 0.00005546, 0.500
mlfq, 92000, 0.95071006, 0.00005818, 0.500
mlfq, 93000, 0.95415068, 0.00006069, 0.500
mlfq, 94000, 0.95776803, 0.00006020, 0.500
mlfq, 95000, 0.96032479, 0.00005427, 0.500
mlfq, 96000, 0.96327945, 0.00005846, 0.500
mlfq, 97000, 0.96695641, 0.00005971, 0.500
mlfq, 98000, 0.97042438, 0.00006034, 0.500
mlfq, 99000, 0.97362716, 0.00005329, 0.500
mlfq, 100000, 0.97664415, 0.00005832, 0.500
rr, 0, 0.85454405, 0.05309537, 0
rr, 500, 0.66707948, 0.00632205, 0
rr, 1000, 0.68835495, 0.00337575, 0
rr, 1500, 0.68942125, 0.00316620, 0
rr, 2000, 0.66971466, 0.00238458, 0
rr, 2500, 0.68459991, 0.00197580, 0
rr, 3000, 0.68683389, 0.00167836, 0
rr, 3500, 0.68376466, 0.00143707, 0
rr, 4000, 0.66672969, 0.00128852, 0
rr, 4500, 0.68341633, 0.00119079, 0
rr, 5000, 0.68092296, 0.00106298, 0
rr, 5500, 0.65946234, 0.00095216, 0
rr, 6000, 0.67913382, 0.00088721, 0
rr, 6500, 0.66748922, 0.00083445, 0
rr, 7000, 0.68198479, 0.00078956, 0
rr, 7500, 0.67478419, 0.00094049, 0
rr, 8000, 0.66438984, 0.00060363, 0
rr, 8500, 0.66456863, 0.00066594, 0
rr, 9000, 0.67371101, 0.00062244, 0
rr, 9500, 0.66756342, 0.00057263, 0
rr, 10000, 0.68030514, 0.00058200, 0
rr, 10500, 0.68375481, 0.00059896, 0
rr, 11000, 0.68019266, 0.00055997, 0
rr, 11500, 0.69125376, 0.00051250, 0
rr, 12000, 0.68751116, 0.00053765, 0
rr, 12500, 0.68060495, 0.00047577, 0
rr, 13000, 0.68447999, 0.00044503, 0
rr, 13500, 0.69047423, 0.00044922, 0
rr, 14000, 0.67699737, 0.00040829, 0
rr, 14500, 0.69057478, 0.00042875, 0
rr, 15000, 0.69485904, 0.00041081, 0
rr, 15500, 0.66673982, 0.00038211, 0
rr, 16000, 0.68049157, 0.00037966, 0
rr, 16500, 0.68091006, 0.00038517, 0
rr, 17000, 0.65853958, 0.00036722, 0
rr, 17500, 0.66933468, 0.00037190, 0
rr, 18000, 0.67952207, 0.00036248, 0
rr, 18500, 0.67467976, 0.00033601, 0
rr, 19000, 0.68793668, 0.00036527, 0
rr, 19500, 0.68103219, 0.00032616, 0
rr, 20000, 0.69351800, 0.00034578, 0
mlfq, 15000, 1.44420352, 0.00001816, 1.000
mlfq, 16000, 1.07121322, 0.00002382, 0.750
mlfq, 17000, 1.07517177, 0.00002263, 0.750
mlfq, 18000, 1.07643508, 0.00002752, 0.750
mlfq, 19000, 1.08031318, 0.00002724, 0.750
mlfq, 20000, 1.08213450, 0.00003178, 0.750
mlfq, 21000, 1.08531659, 0.00003988, 0.750
mlfq, 22000, 1.08672687, 0.00002542, 0.750
mlfq, 23000, 1.08951331, 0.00003981, 0.750
mlfq, 24000, 1.09303501, 0.00004002, 0.750
mlfq, 25000, 1.09443922, 0.00003115, 0.750
mlfq, 26000, 1.09781379, 0.00004086, 0.750
mlfq, 27000, 1.10103456, 0.00004106, 0.750
mlfq, 28000, 1.10357166, 0.00003031, 0.750
mlfq, 29000, 1.10572578, 0.00004323, 0.750
mlfq, 30000, 1.10949773, 0.00003080, 0.750
mlfq, 31000, 1.11247929, 0.00004526, 0.750
mlfq, 32000, 1.11398762, 0.00004093, 0.750
mlfq, 81000, 1.23828949, 0.00004624, 0.750
mlfq, 82000, 1.24144532, 0.00004861, 0.750
mlfq, 83000, 0.92177456, 0.00005978, 0.500
mlfq, 84000, 0.92437737, 0.00005482, 0.500
mlfq, 85000, 0.92826562, 0.00017027, 0.500
mlfq, 86000, 0.93179404, 0.00005713, 0.500
mlfq, 87000, 0.93493496, 0.00004749, 0.500
mlfq, 88000, 0.93761094, 0.00005853, 0.500
mlfq, 89000, 0.94108928, 0.00006209, 0.500
mlfq, 90000, 0.94433095, 0.00004442, 0.500
mlfq, 91000, 0.94729054, 0.00005811, 0.500
mlfq, 92000, 0.95067612, 0.00005650, 0.500
mlfq, 93000, 0.95424740, 0.00021253, 0.500
mlfq, 94000, 0.95697021, 0.00006174, 0.500
mlfq, 95000, 0.96068778, 0.00005468, 0.500
mlfq, 96000, 0.96372545, 0.00006195, 0.500
mlfq, 97000, 0.96676529, 0.00005238, 0.500
mlfq, 98000, 0.97096031, 0.00006090, 0.500
mlfq, 99000, 0.97310006, 0.00005622, 0.500
mlfq, 100000, 0.97678994, 0.00005259, 0.500
rr, 0, 0.77231752, 0.05001662, 0
rr, 500, 0.67338059, 0.00646939, 0
rr, 1000, 0.68545910, 0.00342496, 0
rr, 1500, 0.66144444, 0.00311079, 0
rr, 2000, 0.70330594, 0.00224643, 0
rr, 2500, 0.67579226, 0.00190792, 0
rr, 3000, 0.67405594, 0.00174324, 0
rr, 3500, 0.67148592, 0.00146870, 0
rr, 4000, 0.67092783, 0.00127537, 0
rr, 4500, 0.66308269, 0.00115447, 0
rr, 5000, 0.68549267, 0.00110440, 0
rr, 5500, 0.66457448, 0.00095668, 0
rr, 6000, 0.67870887, 0.00097205, 0
rr, 6500, 0.68302567, 0.00084403, 0
rr, 7000, 0.68160887, 0.00076476, 0
rr, 7500, 0.66912382, 0.00085954, 0
rr, 8000, 0.66629118, 0.00065043, 0
rr, 8500, 0.66430430, 0.00062160, 0
rr, 9000, 0.67354646, 0.00070134, 0
rr, 9500, 0.66701515, 0.00065964, 0
rr, 10000, 0.67172846, 0.00059708, 0
rr, 10500, 0.68425575, 0.00057521, 0
rr, 11000, 0.67981138, 0.00053149, 0
rr, 11500, 0.67880546, 0.00050027, 0
rr, 12000, 0.68992569, 0.00049391, 0
rr, 12500, 0.67970910, 0.00037875, 0
rr, 13000, 0.68433141, 0.00044490, 0
rr, 13500, 0.69061820, 0.00044447, 0
rr, 14000, 0.67696678, 0.00041521, 0
rr, 14500, 0.69411043, 0.00056592, 0
rr, 15000, 0.69483157, 0.00043113, 0
rr, 15500, 0.68255318, 0.00043092, 0
rr, 16000, 0.68072328, 0.00041751, 0
rr, 16500, 0.68146954, 0.00038063, 0
rr, 17000, 0.65831584, 0.00034886, 0
rr, 17500, 0.66856612, 0.00033014, 0
rr, 18000, 0.67922980, 0.00039055, 0
rr, 18500, 0.67471796, 0.00036275, 0
rr, 19000, 0.68746504, 0.00031506, 0
rr, 19500, 0.68171285, 0.00033342, 0
rr, 20000, 0.69407233, 0.00033216, 0
mlfq, 15000, 1.44441722, 0.00001851, 1.000
mlfq, 16000, 1.07125682, 0.00002102, 0.750
mlfq, 17000, 1.07432025, 0.00002871, 0.750
mlfq, 18000, 1.07675267, 0.00003304, 0.750
mlfq, 19000, 1.08027296, 0.00002298, 0.750
mlfq, 20000, 1.08181892, 0.00003052, 0.750
mlfq, 21000, 1.08414385, 0.00002745, 0.750
mlfq, 22000, 1.08644466, 0.00003743, 0.750
mlfq, 23000, 1.08928588, 0.00003911, 0.750
mlfq, 24000, 1.09168632, 0.00003206, 0.750
mlfq, 25000, 1.09467586, 0.00004009, 0.750
mlfq, 26000, 1.09747835, 0.00005092, 0.750
mlfq, 27000, 1.10061507, 0.00003960, 0.750
mlfq, 28000, 1.10372736, 0.00004240, 0.750
mlfq, 29000, 1.10684053, 0.00003562, 0.750
mlfq, 30000, 1.10924533, 0.00002948, 0.750
mlfq, 31000, 1.11238375, 0.00002814, 0.750
mlfq, 32000, 1.11475842, 0.00002766, 0.750
mlfq, 81000, 1.23875402, 0.00004924, 0.750
mlfq, 82000, 1.24143582, 0.00004589, 0.750
mlfq, 83000, 0.92157462, 0.00005999, 0.500
mlfq, 84000, 0.92437321, 0.00005978, 0.500
mlfq, 85000, 0.92824916, 0.00006000, 0.500
mlfq, 86000, 0.93201606, 0.00005909, 0.500
mlfq, 87000, 0.93447554, 0.00005692, 0.500
mlfq, 88000, 0.93776262, 0.00004561, 0.500
mlfq, 89000, 0.94092229, 0.00004658, 0.500
mlfq, 90000, 0.94408326, 0.00005992, 0.500
mlfq, 91000, 0.94753155, 0.00006062, 0.500
mlfq, 92000, 0.95057607, 0.00005643, 0.500
mlfq, 93000, 0.95442193, 0.00006048, 0.500
mlfq, 94000, 0.95725385, 0.00005916, 0.500
mlfq, 95000, 0.96021457, 0.00006467, 0.500
mlfq, 96000, 0.96422037, 0.00018927, 0.500
mlfq, 97000, 0.96694009, 0.00006055, 0.500
mlfq, 98000, 0.97038901, 0.00005434, 0.500
mlfq, 99000, 0.97343035, 0.00005839, 0.500
mlfq, 100000, 0.97643974, 0.00010686, 0.500
rr, 0, 0.81833709, 0.05238822, 0
rr, 500, 0.67380732, 0.00649035, 0
rr, 1000, 0.69191863, 0.00338838, 0
rr, 1500, 0.68460471, 0.00318023, 0
rr, 2000, 0.70314113, 0.00233933, 0
rr, 2500, 0.68531557, 0.00201645, 0
rr, 3000, 0.67066104, 0.00178284, 0
